Date,Actual,LSTM_pred,GRU_pred
2020-02-01,1.63,1.5382748705146936,1.563663149146053
2020-03-01,0.6299999999999999,1.5211070997406617,1.52396803547627
2020-04-01,0.1299999999999999,1.5053774365112194,1.4997402791979075
2020-05-01,0.1299999999999999,1.4514708297370902,1.3615913261709158
2020-06-01,0.1299999999999999,1.4314223463222229,1.260630409816954
2020-07-01,0.1299999999999999,1.396778814901166,1.0793421119009619
2020-08-01,0.1299999999999999,1.3212455153529796,0.9781008070869097
2020-09-01,0.1299999999999999,1.2489722014318552,0.9339493898547093
2020-10-01,0.1299999999999999,1.1920448418125873,0.9243028192657887
2020-11-01,0.1299999999999999,1.1587545189473252,0.9337563031849834
2020-12-01,0.1299999999999999,1.1398685602200966,0.9598933625567749
2021-01-01,0.1299999999999999,1.1472471941787417,0.9867331489722473
2021-02-01,0.1299999999999999,1.165391303323912,1.0132157188876967
2021-03-01,0.1299999999999999,1.2011926770500618,1.0469883887654938
2021-04-01,0.1299999999999999,1.2229165292619486,1.0445165220532806
2021-05-01,0.1299999999999999,1.2828015527825776,1.1577388732069192
2021-06-01,0.1299999999999999,1.4013551045163244,1.1323062043568175
2021-07-01,0.1299999999999999,1.5654134052586604,1.267290790937161
2021-08-01,0.1299999999999999,1.763340241500393,1.3644489349505045
2021-09-01,0.1299999999999999,1.9506088660820815,1.5348878444559233
2021-10-01,0.1299999999999999,2.0810353794791983,1.6848217690533878
2021-11-01,0.1299999999999999,2.1730375859158686,1.8103841389400903
2021-12-01,0.1299999999999999,2.2322880926925044,1.954454673214915
2022-01-01,0.1299999999999999,2.277900290058465,2.1305184218249575
2022-02-01,0.1299999999999999,2.311453673487882,2.241408834802024
2022-03-01,0.24,2.333774668097552,2.290282172988108
2022-04-01,0.3799999999999999,2.3659203948715026,2.4770647847446106
2022-05-01,0.81,2.3868161122808615,2.623030051277705
2022-06-01,1.25,2.392099441660467,2.739735109280824
2022-07-01,1.7,2.4013697273625487,2.8238729028602583
2022-08-01,2.38,2.410058504279625,2.988484340845989
2022-09-01,2.61,2.413202046446003,3.0743320049885714
2022-10-01,3.13,2.411687172471778,3.1557024488730208
2022-11-01,3.81,2.4115833591219094,3.212588960865604
2022-12-01,4.15,2.4221866143973343,3.364681248180738
2023-01-01,4.38,2.432707835562759,3.4963684516839484
2023-02-01,4.61,2.4405882853876832,3.458270369318984
2023-03-01,4.7,2.451487146866473,3.618348829728107
2023-04-01,4.88,2.4693480026727586,3.7158966588678117
2023-05-01,5.09,2.484818871851089,3.6632123387690796
2023-06-01,5.13,2.5022497493969986,3.695438836641949
2023-07-01,5.16,2.5207337933539793,3.634885526233471
2023-08-01,5.38,2.555709157832836,3.6807614156691275
2023-09-01,5.38,2.6048204503871877,3.9220065131013553
2023-10-01,5.38,2.663581825317369,4.127832959970272
2023-11-01,5.38,2.724624259871014,4.30437566317589
2023-12-01,5.38,2.7775574239579477,4.400356126368617
2024-01-01,5.38,2.8403171223103394,4.471417442533887
2024-02-01,5.38,2.891528401826277,4.4685020432960325
2024-03-01,5.38,2.8931420987163414,4.1814101364881715
2024-04-01,5.38,2.88227977214347,4.226800906447943
2024-05-01,5.38,2.8698606765946453,4.276107873304481
2024-06-01,5.38,2.8446898515053403,4.325847098002369
2024-07-01,5.38,2.829574134882094,4.4140853648758736
2024-08-01,5.38,2.8197103879974543,4.38651722153331
2024-09-01,5.18,2.793914957720631,4.23032698694627
2024-10-01,4.88,2.7501263019151523,3.996335885842549
2024-11-01,4.68,2.6846209406921995,3.7170336152823373
2024-12-01,4.52,2.627556806214351,3.725835755145264
2025-01-01,4.38,2.5653914931989665,3.6841563894561666
2025-02-01,4.38,2.5203943514245424,3.60999410383951
2025-03-01,4.38,2.49316669738646,3.7033258171583183
2025-04-01,4.38,2.455916003041729,3.6925903461862655
2025-05-01,4.38,2.4231961915235196,3.5908830826985896
